City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Samarai,PG,2020-11-03 19:06:15,-10.62,150.67,80.31,80,74,7.14
98,Waipawa,NZ,2020-11-03 19:06:15,-41.41,175.52,62.6,88,100,10.29
99,Ponta Delgada,PT,2020-11-03 19:06:16,37.73,-25.67,62.6,59,75,17.22
100,Bluff,NZ,2020-11-03 19:06:16,-46.6,168.33,48.0,95,21,1.99
101,Souillac,MU,2020-11-03 19:06:16,-20.52,57.52,71.6,68,75,9.17
102,Port Augusta,AU,2020-11-03 19:06:16,-32.5,137.77,64.4,82,75,14.99
103,Bengkulu,ID,2020-11-03 19:03:43,-3.8,102.27,75.78,87,82,3.58
104,Saint-Joseph,RE,2020-11-03 19:06:16,-21.37,55.62,73.4,56,90,10.29
105,Newport,GB,2020-11-03 19:06:17,51.59,-3.0,39.99,89,0,6.53
106,Itarema,BR,2020-11-03 19:06:17,-2.92,-39.92,84.16,67,53,15.86
107,Katrineholm,SE,2020-11-03 19:06:17,59.0,16.21,46.4,87,0,8.05
108,Knysna,ZA,2020-11-03 19:06:17,-34.04,23.05,64.4,100,76,6.93
109,Boppard,DE,2020-11-03 19:06:17,50.23,7.59,50.0,79,17,7.09
110,Biak,ID,2020-11-03 19:06:17,-0.91,122.88,76.8,80,100,2.48
111,Kingman,US,2020-11-03 19:06:18,35.19,-114.05,84.99,14,1,17.22
112,Kitimat,CA,2020-11-03 19:06:18,54.05,-128.65,48.0,95,100,3.62
113,Puerto Ayora,EC,2020-11-03 19:06:18,-0.74,-90.35,77.0,69,75,17.22
114,Wanning,CN,2020-11-03 19:06:18,18.8,110.4,71.89,85,99,11.86
115,Flinders,AU,2020-11-03 19:06:18,-34.58,150.86,60.01,87,43,1.01
116,Obo,CF,2020-11-03 19:06:19,5.4,26.49,71.65,91,100,2.71
117,Airai,TL,2020-11-03 19:06:19,-8.93,125.41,60.91,91,61,0.87
118,Puerto Cabezas,NI,2020-11-03 19:06:19,14.04,-83.39,78.84,91,100,18.66
119,Sorong,ID,2020-11-03 19:06:19,-0.88,131.25,77.81,85,100,7.45
120,Port Elizabeth,ZA,2020-11-03 19:06:20,-33.92,25.57,66.2,88,0,5.82
121,Matara,LK,2020-11-03 19:06:20,5.95,80.54,77.76,90,100,5.37
122,Sitka,US,2020-11-03 19:03:08,57.05,-135.33,35.6,80,20,5.82
123,Tiksi,RU,2020-11-03 19:06:20,71.69,128.87,8.74,95,100,1.88
124,Nome,US,2020-11-03 19:06:21,64.5,-165.41,24.8,85,90,8.05
125,Avarua,CK,2020-11-03 19:06:21,-21.21,-159.78,75.2,83,100,17.34
126,Mezhdurechensk,RU,2020-11-03 19:06:21,53.69,88.06,27.25,97,100,4.61
127,Shimoni,KE,2020-11-03 19:06:21,-4.65,39.38,78.66,79,0,10.71
128,New Norfolk,AU,2020-11-03 19:06:21,-42.78,147.06,70.0,55,40,5.82
129,North Bend,US,2020-11-03 19:06:21,43.41,-124.22,55.0,81,90,5.82
130,Bonavista,CA,2020-11-03 19:06:22,48.65,-53.11,45.0,60,100,12.75
131,Marigot,MF,2020-11-03 19:06:22,18.07,-63.08,86.0,62,20,12.75
132,Ginda,IN,2020-11-03 19:06:22,30.69,78.49,48.02,59,0,6.11
133,Maymyo,MM,2020-11-03 19:06:23,22.03,96.47,77.0,88,75,3.36
134,Scarborough,GB,2020-11-03 19:06:23,54.28,-0.4,43.0,82,100,1.01
135,Aswan,EG,2020-11-03 19:06:23,24.09,32.91,73.17,36,0,11.1
136,Mayo,US,2020-11-03 19:06:23,38.89,-76.51,62.01,36,1,8.05
137,Pontianak,ID,2020-11-03 19:06:23,-0.03,109.33,75.27,94,100,2.84
138,Hay River,CA,2020-11-03 19:06:23,60.82,-115.8,15.8,85,100,13.87
139,Jizan,SA,2020-11-03 19:06:23,17.33,42.67,86.0,66,0,3.36
140,Grand-Santi,GF,2020-11-03 19:06:24,4.25,-54.38,93.07,44,95,3.24
141,East London,ZA,2020-11-03 19:06:24,-33.02,27.91,68.0,88,0,6.93
142,Nyaunglebin,MM,2020-11-03 19:06:24,17.95,96.73,74.5,89,0,2.06
143,Paamiut,GL,2020-11-03 19:06:24,61.99,-49.67,35.37,94,100,34.83
144,Dikson,RU,2020-11-03 19:06:24,73.51,80.55,3.49,92,0,8.7
145,Daru,PG,2020-11-03 19:06:24,-9.08,143.21,79.5,85,100,15.46
146,Kuching,MY,2020-11-03 19:06:24,1.55,110.33,75.2,100,40,2.24
147,Henties Bay,NA,2020-11-03 19:06:25,-22.12,14.28,60.01,87,95,6.89
148,Hambantota,LK,2020-11-03 19:06:25,6.12,81.12,75.2,100,75,2.24
149,Cabo San Lucas,MX,2020-11-03 19:02:25,22.89,-109.91,87.01,74,40,6.93
150,Berekua,DM,2020-11-03 19:06:25,15.23,-61.32,86.0,55,20,9.17
151,Kavieng,PG,2020-11-03 19:06:25,-2.57,150.8,83.21,76,100,7.58
152,El Mochito,HN,2020-11-03 19:06:25,14.87,-88.08,78.8,93,90,11.41
153,Ocean City,US,2020-11-03 19:04:21,39.28,-74.57,59.0,33,1,16.11
154,Arcachon,FR,2020-11-03 19:06:26,44.59,-1.05,50.0,76,0,1.12
155,San Jeronimo,PE,2020-11-03 19:06:26,-11.95,-75.28,60.67,51,24,6.71
156,Chapais,CA,2020-11-03 19:06:26,49.78,-74.85,19.4,85,90,8.05
157,Arraial Do Cabo,BR,2020-11-03 19:05:09,-22.97,-42.03,75.2,56,75,18.34
158,Dwarka,IN,2020-11-03 19:06:26,22.24,68.97,81.18,55,0,13.29
159,Banda Aceh,ID,2020-11-03 19:02:52,5.56,95.32,79.05,78,98,4.72
