City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Norman Wells,CA,65.28,-126.83,-5.8,76,75,2.24,light snow
150,Roald,NO,62.58,6.13,46.4,81,75,21.92,light intensity shower rain
151,Lumberton,US,34.62,-79.01,69.8,37,1,9.17,clear sky
152,Barrow,US,71.29,-156.79,26.6,73,75,26.4,haze
153,Bilibino,RU,68.05,166.44,4.62,91,100,5.61,overcast clouds
154,Iquique,CL,-20.22,-70.14,68.0,52,0,19.46,clear sky
155,Tuktoyaktuk,CA,69.45,-133.04,10.4,85,90,11.41,light snow
156,Kwinana,AU,-32.25,115.77,57.99,62,4,14.99,clear sky
157,Sarakhs,IR,36.54,61.16,51.8,32,0,2.24,clear sky
158,Tres Picos,MX,15.87,-93.53,86.67,50,100,12.55,overcast clouds
159,Matamoros,MX,25.53,-103.25,77.0,20,5,4.72,clear sky
160,Bengkulu,ID,-3.8,102.27,75.49,87,100,4.76,heavy intensity rain
161,Goderich,CA,43.75,-81.72,62.6,48,0,17.22,clear sky
162,Karratha,AU,-20.74,116.85,73.08,45,0,8.34,light rain
163,Severobaykalsk,RU,55.65,109.32,22.59,90,86,6.69,overcast clouds
164,Ordzhonikidze,KZ,52.44,61.74,39.33,74,8,11.01,clear sky
165,Airai,TL,-8.93,125.41,61.3,83,67,2.33,broken clouds
166,Guerrero Negro,MX,27.98,-114.06,82.0,37,0,10.49,clear sky
167,Puerto Ayora,EC,-0.74,-90.35,80.6,65,40,14.99,scattered clouds
168,Am Timan,TD,11.03,20.28,86.59,28,57,4.72,broken clouds
169,Saint-Augustin,CA,51.23,-58.65,29.46,72,100,18.86,overcast clouds
170,Souillac,MU,-20.52,57.52,69.8,83,75,6.93,shower rain
171,Zhezkazgan,KZ,47.8,67.71,31.23,84,0,6.17,clear sky
172,Kibre Mengist,ET,5.88,38.98,59.79,86,100,1.16,overcast clouds
173,Cerro Grande,HN,13.82,-87.25,66.2,100,90,9.17,light rain
174,Cidreira,BR,-30.18,-50.21,64.6,54,5,11.65,clear sky
175,Ondangwa,NA,-17.92,15.95,86.0,16,0,1.12,clear sky
176,Port Lincoln,AU,-34.73,135.87,53.6,62,80,11.05,broken clouds
177,Rawson,AR,-43.3,-65.1,76.75,34,27,25.81,scattered clouds
178,Bathsheba,BB,13.22,-59.52,86.0,66,20,17.22,few clouds
179,Leningradskiy,RU,69.38,178.42,3.7,78,72,7.56,broken clouds
180,Chuy,UY,-33.7,-53.46,63.93,54,0,11.21,clear sky
181,Najran,SA,17.49,44.13,64.4,23,0,0.31,clear sky
182,Sechura,PE,-5.56,-80.82,75.99,52,15,16.51,few clouds
183,Sorland,NO,67.67,12.69,42.8,87,40,25.28,light intensity shower rain
184,Wick,GB,58.43,-3.08,46.4,87,100,10.29,light rain
185,Cassilandia,BR,-19.11,-51.73,89.49,20,0,6.02,clear sky
186,Videira,BR,-27.01,-51.15,73.24,27,1,5.28,clear sky
187,Pangnirtung,CA,66.15,-65.71,8.6,55,20,13.87,few clouds
188,Kenai,US,60.55,-151.26,3.2,77,1,8.7,clear sky
